contamination,n_flagged,precision,recall,f1
0.0012,107,0.9252336448598131,0.673469387755102,0.7795275590551181
0.0016,141,0.75177304964539,0.7210884353741497,0.7361111111111112
0.002,175,0.6285714285714286,0.7482993197278912,0.6832298136645962
0.0025,224,0.5089285714285714,0.7755102040816326,0.6145552560646901
0.003,275,0.4254545454545455,0.7959183673469388,0.5545023696682464
0.004,360,0.33611111111111114,0.8231292517006803,0.47731755424063116
0.005,456,0.26535087719298245,0.8231292517006803,0.4013266998341625
