date,year,quarter,month,month_name,day,day_of_week,day_name,is_weekend,week_of_year
2020-04-19,2020,2,4,April,19,6,Sunday,True,16
2020-04-20,2020,2,4,April,20,0,Monday,False,17
2020-04-21,2020,2,4,April,21,1,Tuesday,False,17
2020-04-22,2020,2,4,April,22,2,Wednesday,False,17
2020-04-23,2020,2,4,April,23,3,Thursday,False,17
2020-04-24,2020,2,4,April,24,4,Friday,False,17
2020-04-25,2020,2,4,April,25,5,Saturday,True,17
2020-04-26,2020,2,4,April,26,6,Sunday,True,17
2020-04-27,2020,2,4,April,27,0,Monday,False,18
2020-04-28,2020,2,4,April,28,1,Tuesday,False,18
2020-04-29,2020,2,4,April,29,2,Wednesday,False,18
2020-04-30,2020,2,4,April,30,3,Thursday,False,18
2020-05-01,2020,2,5,May,1,4,Friday,False,18
2020-05-02,2020,2,5,May,2,5,Saturday,True,18
2020-05-03,2020,2,5,May,3,6,Sunday,True,18
2020-05-04,2020,2,5,May,4,0,Monday,False,19
2020-05-05,2020,2,5,May,5,1,Tuesday,False,19
2020-05-06,2020,2,5,May,6,2,Wednesday,False,19
2020-05-07,2020,2,5,May,7,3,Thursday,False,19
2020-05-08,2020,2,5,May,8,4,Friday,False,19
2020-05-09,2020,2,5,May,9,5,Saturday,True,19
2020-05-10,2020,2,5,May,10,6,Sunday,True,19
2020-05-11,2020,2,5,May,11,0,Monday,False,20
2020-05-12,2020,2,5,May,12,1,Tuesday,False,20
2020-05-13,2020,2,5,May,13,2,Wednesday,False,20
2020-05-14,2020,2,5,May,14,3,Thursday,False,20
2020-05-15,2020,2,5,May,15,4,Friday,False,20
2020-05-16,2020,2,5,May,16,5,Saturday,True,20
2020-05-17,2020,2,5,May,17,6,Sunday,True,20
2020-05-18,2020,2,5,May,18,0,Monday,False,21
2020-05-19,2020,2,5,May,19,1,Tuesday,False,21
2020-05-20,2020,2,5,May,20,2,Wednesday,False,21
2020-05-21,2020,2,5,May,21,3,Thursday,False,21
2020-05-22,2020,2,5,May,22,4,Friday,False,21
2020-05-23,2020,2,5,May,23,5,Saturday,True,21
2020-05-24,2020,2,5,May,24,6,Sunday,True,21
2020-05-25,2020,2,5,May,25,0,Monday,False,22
2020-05-26,2020,2,5,May,26,1,Tuesday,False,22
2020-05-27,2020,2,5,May,27,2,Wednesday,False,22
2020-05-28,2020,2,5,May,28,3,Thursday,False,22
2020-05-29,2020,2,5,May,29,4,Friday,False,22
2020-05-30,2020,2,5,May,30,5,Saturday,True,22
2020-05-31,2020,2,5,May,31,6,Sunday,True,22
2020-06-01,2020,2,6,June,1,0,Monday,False,23
2020-06-02,2020,2,6,June,2,1,Tuesday,False,23
2020-06-03,2020,2,6,June,3,2,Wednesday,False,23
2020-06-04,2020,2,6,June,4,3,Thursday,False,23
2020-06-05,2020,2,6,June,5,4,Friday,False,23
2020-06-06,2020,2,6,June,6,5,Saturday,True,23
2020-06-07,2020,2,6,June,7,6,Sunday,True,23
2020-06-08,2020,2,6,June,8,0,Monday,False,24
2020-06-09,2020,2,6,June,9,1,Tuesday,False,24
2020-06-10,2020,2,6,June,10,2,Wednesday,False,24
2020-06-11,2020,2,6,June,11,3,Thursday,False,24
2020-06-12,2020,2,6,June,12,4,Friday,False,24
2020-06-13,2020,2,6,June,13,5,Saturday,True,24
2020-06-14,2020,2,6,June,14,6,Sunday,True,24
2020-06-15,2020,2,6,June,15,0,Monday,False,25
2020-06-16,2020,2,6,June,16,1,Tuesday,False,25
2020-06-17,2020,2,6,June,17,2,Wednesday,False,25
2020-06-18,2020,2,6,June,18,3,Thursday,False,25
2020-06-19,2020,2,6,June,19,4,Friday,False,25
2020-06-20,2020,2,6,June,20,5,Saturday,True,25
2020-06-21,2020,2,6,June,21,6,Sunday,True,25
2020-06-22,2020,2,6,June,22,0,Monday,False,26
2020-06-23,2020,2,6,June,23,1,Tuesday,False,26
2020-06-24,2020,2,6,June,24,2,Wednesday,False,26
2020-06-25,2020,2,6,June,25,3,Thursday,False,26
2020-06-26,2020,2,6,June,26,4,Friday,False,26
2020-06-27,2020,2,6,June,27,5,Saturday,True,26
2020-06-28,2020,2,6,June,28,6,Sunday,True,26
2020-06-29,2020,2,6,June,29,0,Monday,False,27
2020-06-30,2020,2,6,June,30,1,Tuesday,False,27
2020-07-01,2020,3,7,July,1,2,Wednesday,False,27
2020-07-02,2020,3,7,July,2,3,Thursday,False,27
2020-07-03,2020,3,7,July,3,4,Friday,False,27
2020-07-04,2020,3,7,July,4,5,Saturday,True,27
2020-07-05,2020,3,7,July,5,6,Sunday,True,27
2020-07-06,2020,3,7,July,6,0,Monday,False,28
2020-07-07,2020,3,7,July,7,1,Tuesday,False,28
2020-07-08,2020,3,7,July,8,2,Wednesday,False,28
2020-07-09,2020,3,7,July,9,3,Thursday,False,28
2020-07-10,2020,3,7,July,10,4,Friday,False,28
2020-07-11,2020,3,7,July,11,5,Saturday,True,28
2020-07-12,2020,3,7,July,12,6,Sunday,True,28
2020-07-13,2020,3,7,July,13,0,Monday,False,29
2020-07-14,2020,3,7,July,14,1,Tuesday,False,29
2020-07-15,2020,3,7,July,15,2,Wednesday,False,29
2020-07-16,2020,3,7,July,16,3,Thursday,False,29
2020-07-17,2020,3,7,July,17,4,Friday,False,29
2020-07-18,2020,3,7,July,18,5,Saturday,True,29
2020-07-19,2020,3,7,July,19,6,Sunday,True,29
2020-07-20,2020,3,7,July,20,0,Monday,False,30
2020-07-21,2020,3,7,July,21,1,Tuesday,False,30
2020-07-22,2020,3,7,July,22,2,Wednesday,False,30
2020-07-23,2020,3,7,July,23,3,Thursday,False,30
2020-07-24,2020,3,7,July,24,4,Friday,False,30
2020-07-25,2020,3,7,July,25,5,Saturday,True,30
2020-07-26,2020,3,7,July,26,6,Sunday,True,30
2020-07-27,2020,3,7,July,27,0,Monday,False,31
2020-07-28,2020,3,7,July,28,1,Tuesday,False,31
2020-07-29,2020,3,7,July,29,2,Wednesday,False,31
2020-07-30,2020,3,7,July,30,3,Thursday,False,31
2020-07-31,2020,3,7,July,31,4,Friday,False,31
2020-08-01,2020,3,8,August,1,5,Saturday,True,31
2020-08-02,2020,3,8,August,2,6,Sunday,True,31
2020-08-03,2020,3,8,August,3,0,Monday,False,32
2020-08-04,2020,3,8,August,4,1,Tuesday,False,32
2020-08-05,2020,3,8,August,5,2,Wednesday,False,32
2020-08-06,2020,3,8,August,6,3,Thursday,False,32
2020-08-07,2020,3,8,August,7,4,Friday,False,32
2020-08-08,2020,3,8,August,8,5,Saturday,True,32
2020-08-09,2020,3,8,August,9,6,Sunday,True,32
2020-08-10,2020,3,8,August,10,0,Monday,False,33
2020-08-11,2020,3,8,August,11,1,Tuesday,False,33
2020-08-12,2020,3,8,August,12,2,Wednesday,False,33
2020-08-13,2020,3,8,August,13,3,Thursday,False,33
2020-08-14,2020,3,8,August,14,4,Friday,False,33
2020-08-15,2020,3,8,August,15,5,Saturday,True,33
2020-08-16,2020,3,8,August,16,6,Sunday,True,33
2020-08-17,2020,3,8,August,17,0,Monday,False,34
2020-08-18,2020,3,8,August,18,1,Tuesday,False,34
2020-08-19,2020,3,8,August,19,2,Wednesday,False,34
2020-08-20,2020,3,8,August,20,3,Thursday,False,34
2020-08-21,2020,3,8,August,21,4,Friday,False,34
2020-08-22,2020,3,8,August,22,5,Saturday,True,34
2020-08-23,2020,3,8,August,23,6,Sunday,True,34
2020-08-24,2020,3,8,August,24,0,Monday,False,35
2020-08-25,2020,3,8,August,25,1,Tuesday,False,35
2020-08-26,2020,3,8,August,26,2,Wednesday,False,35
2020-08-27,2020,3,8,August,27,3,Thursday,False,35
2020-08-28,2020,3,8,August,28,4,Friday,False,35
2020-08-29,2020,3,8,August,29,5,Saturday,True,35
2020-08-30,2020,3,8,August,30,6,Sunday,True,35
2020-08-31,2020,3,8,August,31,0,Monday,False,36
2020-09-01,2020,3,9,September,1,1,Tuesday,False,36
2020-09-02,2020,3,9,September,2,2,Wednesday,False,36
2020-09-03,2020,3,9,September,3,3,Thursday,False,36
2020-09-04,2020,3,9,September,4,4,Friday,False,36
2020-09-05,2020,3,9,September,5,5,Saturday,True,36
2020-09-06,2020,3,9,September,6,6,Sunday,True,36
2020-09-07,2020,3,9,September,7,0,Monday,False,37
2020-09-08,2020,3,9,September,8,1,Tuesday,False,37
2020-09-09,2020,3,9,September,9,2,Wednesday,False,37
2020-09-10,2020,3,9,September,10,3,Thursday,False,37
2020-09-11,2020,3,9,September,11,4,Friday,False,37
2020-09-12,2020,3,9,September,12,5,Saturday,True,37
2020-09-13,2020,3,9,September,13,6,Sunday,True,37
2020-09-14,2020,3,9,September,14,0,Monday,False,38
2020-09-15,2020,3,9,September,15,1,Tuesday,False,38
2020-09-16,2020,3,9,September,16,2,Wednesday,False,38
2020-09-17,2020,3,9,September,17,3,Thursday,False,38
2020-09-18,2020,3,9,September,18,4,Friday,False,38
2020-09-19,2020,3,9,September,19,5,Saturday,True,38
2020-09-20,2020,3,9,September,20,6,Sunday,True,38
2020-09-21,2020,3,9,September,21,0,Monday,False,39
2020-09-22,2020,3,9,September,22,1,Tuesday,False,39
2020-09-23,2020,3,9,September,23,2,Wednesday,False,39
2020-09-24,2020,3,9,September,24,3,Thursday,False,39
2020-09-25,2020,3,9,September,25,4,Friday,False,39
2020-09-26,2020,3,9,September,26,5,Saturday,True,39
2020-09-27,2020,3,9,September,27,6,Sunday,True,39
2020-09-28,2020,3,9,September,28,0,Monday,False,40
2020-09-29,2020,3,9,September,29,1,Tuesday,False,40
2020-09-30,2020,3,9,September,30,2,Wednesday,False,40
2020-10-01,2020,4,10,October,1,3,Thursday,False,40
2020-10-02,2020,4,10,October,2,4,Friday,False,40
2020-10-03,2020,4,10,October,3,5,Saturday,True,40
2020-10-04,2020,4,10,October,4,6,Sunday,True,40
2020-10-05,2020,4,10,October,5,0,Monday,False,41
2020-10-06,2020,4,10,October,6,1,Tuesday,False,41
2020-10-07,2020,4,10,October,7,2,Wednesday,False,41
2020-10-08,2020,4,10,October,8,3,Thursday,False,41
2020-10-09,2020,4,10,October,9,4,Friday,False,41
2020-10-10,2020,4,10,October,10,5,Saturday,True,41
2020-10-11,2020,4,10,October,11,6,Sunday,True,41
2020-10-12,2020,4,10,October,12,0,Monday,False,42
2020-10-13,2020,4,10,October,13,1,Tuesday,False,42
2020-10-14,2020,4,10,October,14,2,Wednesday,False,42
2020-10-15,2020,4,10,October,15,3,Thursday,False,42
2020-10-16,2020,4,10,October,16,4,Friday,False,42
2020-10-17,2020,4,10,October,17,5,Saturday,True,42
2020-10-18,2020,4,10,October,18,6,Sunday,True,42
2020-10-19,2020,4,10,October,19,0,Monday,False,43
2020-10-20,2020,4,10,October,20,1,Tuesday,False,43
2020-10-21,2020,4,10,October,21,2,Wednesday,False,43
2020-10-22,2020,4,10,October,22,3,Thursday,False,43
2020-10-23,2020,4,10,October,23,4,Friday,False,43
2020-10-24,2020,4,10,October,24,5,Saturday,True,43
2020-10-25,2020,4,10,October,25,6,Sunday,True,43
2020-10-26,2020,4,10,October,26,0,Monday,False,44
2020-10-27,2020,4,10,October,27,1,Tuesday,False,44
2020-10-28,2020,4,10,October,28,2,Wednesday,False,44
2020-10-29,2020,4,10,October,29,3,Thursday,False,44
2020-10-30,2020,4,10,October,30,4,Friday,False,44
2020-10-31,2020,4,10,October,31,5,Saturday,True,44
2020-11-01,2020,4,11,November,1,6,Sunday,True,44
2020-11-02,2020,4,11,November,2,0,Monday,False,45
2020-11-03,2020,4,11,November,3,1,Tuesday,False,45
2020-11-04,2020,4,11,November,4,2,Wednesday,False,45
2020-11-05,2020,4,11,November,5,3,Thursday,False,45
2020-11-06,2020,4,11,November,6,4,Friday,False,45
2020-11-07,2020,4,11,November,7,5,Saturday,True,45
2020-11-08,2020,4,11,November,8,6,Sunday,True,45
2020-11-09,2020,4,11,November,9,0,Monday,False,46
2020-11-10,2020,4,11,November,10,1,Tuesday,False,46
2020-11-11,2020,4,11,November,11,2,Wednesday,False,46
2020-11-12,2020,4,11,November,12,3,Thursday,False,46
2020-11-13,2020,4,11,November,13,4,Friday,False,46
2020-11-14,2020,4,11,November,14,5,Saturday,True,46
2020-11-15,2020,4,11,November,15,6,Sunday,True,46
2020-11-16,2020,4,11,November,16,0,Monday,False,47
2020-11-17,2020,4,11,November,17,1,Tuesday,False,47
2020-11-18,2020,4,11,November,18,2,Wednesday,False,47
2020-11-19,2020,4,11,November,19,3,Thursday,False,47
2020-11-20,2020,4,11,November,20,4,Friday,False,47
2020-11-21,2020,4,11,November,21,5,Saturday,True,47
2020-11-22,2020,4,11,November,22,6,Sunday,True,47
2020-11-23,2020,4,11,November,23,0,Monday,False,48
2020-11-24,2020,4,11,November,24,1,Tuesday,False,48
2020-11-25,2020,4,11,November,25,2,Wednesday,False,48
2020-11-26,2020,4,11,November,26,3,Thursday,False,48
2020-11-27,2020,4,11,November,27,4,Friday,False,48
2020-11-28,2020,4,11,November,28,5,Saturday,True,48
2020-11-29,2020,4,11,November,29,6,Sunday,True,48
2020-11-30,2020,4,11,November,30,0,Monday,False,49
2020-12-01,2020,4,12,December,1,1,Tuesday,False,49
2020-12-02,2020,4,12,December,2,2,Wednesday,False,49
2020-12-03,2020,4,12,December,3,3,Thursday,False,49
2020-12-04,2020,4,12,December,4,4,Friday,False,49
2020-12-05,2020,4,12,December,5,5,Saturday,True,49
2020-12-06,2020,4,12,December,6,6,Sunday,True,49
2020-12-07,2020,4,12,December,7,0,Monday,False,50
2020-12-08,2020,4,12,December,8,1,Tuesday,False,50
2020-12-09,2020,4,12,December,9,2,Wednesday,False,50
2020-12-10,2020,4,12,December,10,3,Thursday,False,50
2020-12-11,2020,4,12,December,11,4,Friday,False,50
2020-12-12,2020,4,12,December,12,5,Saturday,True,50
2020-12-13,2020,4,12,December,13,6,Sunday,True,50
2020-12-14,2020,4,12,December,14,0,Monday,False,51
2020-12-15,2020,4,12,December,15,1,Tuesday,False,51
2020-12-16,2020,4,12,December,16,2,Wednesday,False,51
